	Question	Anatomy	Cause	Complication	Diagnosis	Information	Management	Manifestation	OtherEffect	PersonOrg	Prognosis	Susceptibility	Other	NotDisease
170	If anencephaly occurred in a previous pregnancy, what are the chances of this condition affecting the next pregnancy if we take the recommended medication?  How long should the medication be taken before attempting another pregnancy?	0	0	0	0	0	1	0	0	0	0	1	0	0
171	If a person with congenital central hypoventilation syndrome has a child, what are the odds that the child will need a tracheotomy?	0	0	0	0	0	0	0	0	0	0	1	0	0
172	If a woman has a XXY karyotype, does this mean that she has Klinefelter syndrome?	0	0	0	0	1	0	0	0	0	0	0	0	0
173	If glucose 6 phosphate dehydrogenase is needed to metabolize carbohydrates and it's missing, then what happens to the sugar in the blood?  Where does it go?	0	0	0	0	0	0	0	0	0	0	0	1	1
174	I find all kinds of information about infants and NEC but cannot find any information about children in their late teens and into adulthood. I have identical twin sons now age 19. One twin developed NEC and the other did not. He asks many questions about his prognosis as an adult including life expectancy. Do you have any information I can give him or some internet sources that may answer questions for him that are not infant or child related?	0	0	0	0	1	0	0	0	0	0	0	0	0
175	If my father had a TP53 mutation, does that mean all his children have the mutation or each has a 50% chance of having it?  If my father had the mutation and I do not have it, do my own children have a chance of having it or are they and all successive generations in the clear?  If my family clearly meets the criteria for diagnosing this condition, but no one demonstrates the TP53 mutation in genetic testing, is it possible to determine if a given relative never diagnosed with cancer has the predisposition?	0	0	0	0	0	0	0	0	0	0	1	0	0
176	If one child has Shwachman-Diamond syndrome, will the second child have it as well if the parents are the same?	0	0	0	0	0	0	0	0	0	0	1	0	0
177	If the symptoms of paraneoplastic neurologic disorders are caused by cancer, why do the symptoms appear before cancer is diagnosed? What is the prognosis for people with a paraneoplastic neurologic disorder?	0	0	0	0	0	0	1	0	0	1	0	0	0
178	If TSH levels are found to be out of range in a new born baby, does this mean that the baby will have permanent or temporary deficiency?	0	0	0	0	0	0	0	0	0	1	0	0	0
179	If you are diagnosed with lentigo maligna melanoma (LMM), what are the chances of having another, completely separate LMM at another site?  Is LMM genetic?	0	0	0	0	0	0	0	0	0	1	1	0	0
180	I had a brain stem stroke one year ago and acquired Wallenberg syndrome.  Is there any research programs which I could volunteer for? How can I find out about any research being done on Wallenberg syndrome?	0	0	0	0	1	0	0	0	1	0	0	0	0
181	I had a glomus jugulare tumor.  It was removed, but it grew back in my neck several years later and now I can't swallow.  How many people in the United States get a glomus jugulare tumor - I know that it's really rare.	0	0	0	0	0	0	0	0	0	0	1	0	0
182	I had a sacrococcygeal teratoma removed when I was very young.  I have since had numerous surgeries to remove scar tissue and a total hysterectomy.  I have been trying to get information as to what problems I may have because of this history.  I have started having a lot problems and I now have to walk with a cane.  I also have had horrible lower back pain for years - could this be due to this rare condition?	0	0	1	0	0	0	0	1	0	0	0	0	0
183	I had a sibling with Neu-Laxova and I was always told growing up that I would have a 1 in 4 chance of having a child with this condition. I was wondering if that probability was still the same?	0	0	0	0	0	0	0	0	0	0	1	0	0
184	I had a spinal cord stroke this past summer. My neurologist thinks it may have been a fibrocartilaginous embolism. What might I expect? Will this happen to me again? What is the amount of recovery on average with this type of injury and what caused it?	0	1	0	0	0	0	0	0	0	1	0	0	0
185	I had chronic osteomyelitis in my left femur as a child.  I had extensive surgeries on the femur over a period of 10 years.  After many years of being OK excepting a bit of arthritis, I had a bad fall two months ago, hurting my lower back.  The pain has now gone into my hip and femur. I am wondering if this could have triggered anything relating to the osteomyelitis or would it be completely cured by now?	0	1	0	0	0	0	0	0	0	0	0	0	0
186	I had craniosynostosis and now my daughter has this disorder. I'd like to know more about the genetics involved with this condition.	0	0	0	0	0	0	0	0	0	0	1	0	0
187	I had preeclampsia and HELLP syndrome with what I believe to be my first and only pregnancy. I believe my sister had eclampsia with her second pregnancy. I also believe that our mother may have had this condition but little was known at the time of my birth. Both my sister and I now have a daughter. Given our history, does this mean that they are at a higher risk for having these problems? My daughter is just learning of these things and is concerned that she will have the same complications as we did, so I told her I would look into it for her.	0	0	0	0	0	0	0	0	0	0	1	0	0
188	I had surgery 5 years ago to remove sclerosing mesenteritis. Can this come back?	0	0	0	0	0	0	0	0	0	1	0	0	0
189	I had two brothers with the severe form of Hunter syndrome and both have passed away.  I was never tested to see if I am a carrier, and now my daughter would like to know if she is a carrier. Is there a definitive test to determine if one is a carrier? Who do we contact to be tested?	0	0	0	1	0	0	0	0	1	0	0	0	0
190	I had two thalamic strokes in 2009, which left me with chronic pain on my left side. What can I do for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
191	I have 2 sons, a 12 year old and 22 year old. Both were blind after the birth and diagnosed with Norrie. Do you know if any progress has been made anywhere on earth to restore vision including but not limited to stem cell treatments?	0	0	0	0	0	1	0	0	0	0	0	0	0
192	I have 3 brothers (and one that died 3 years ago) suffering from a genetic rare disease, neuroacanthocytosis. I am looking for any information about new medicines or any other suggestions.	0	0	0	0	0	1	0	0	0	0	0	0	0
193	I have a 12-year-old granddaughter who has Desbuquois syndrome. Can you provide some information to help me understand this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
194	I have a 24-month-old niece who has the following symptoms of Cohen syndrome: hypotonia (e.g. unable to stand), congenital cataract, narrow feet with overlapping fingers, slow learning, smaller than normal head size, and aggressive behavior. This is all new to my family and I would like seek your help in learning more about this condition, including what to expect.	0	0	0	0	1	0	0	0	0	1	0	0	0
195	I have a 4 year old son who was diagnosed with XYY karotype about a year ago.  Lately, he has had a lot of behavior issues; he is very strong and he does throw several temper tantrums a day.  I am looking for any advice how I can redirect him and get through to him on a positive note.	0	0	0	0	0	1	0	0	0	0	0	0	0
196	I have a 7 year old daughter with this condition. What are the chances of having another child with the same condition?	0	0	0	0	0	0	0	0	0	0	1	0	0
197	I have a 7 year old patient diagnosed with PLEVA by skin biopsy.  He has a chronic and relapsing course and we are trying to find more information for the family regarding this condition, its outcomes, and long-term complications.	0	0	1	0	1	0	0	0	0	1	0	0	0
198	I have a 7-year-old son with Coffin-Lowry syndrome. Are there any foods or supplements that have been shown to benefit people with Coffin-Lowry syndrome? How might Coffin-Lowry be treated? Thanks for your help.	0	0	0	0	0	1	0	0	0	0	0	0	0
199	I have a brother with X-linked spondyloepiphyseal dysplasia. I would like general information about this condition, including hip replacement surgery. I am also looking for doctors that might be able to help with the hip pain.	0	0	0	0	1	1	0	0	1	0	0	0	0
200	I have accessory navicular bone and the condition is causing me considerable pain. How is this condition treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
201	I have achalasia. What causes this condition? How might it be treated? Where can I learn about research related to this condition?	0	1	0	0	1	1	0	0	0	0	0	0	0
202	I have a chance to work with a child who has Emanuel sydrome. What is a child with this capable of learning?   Is there a Web page that summarizes this syndrome and would be helpful to me?	0	0	0	0	1	0	0	1	0	0	0	0	0
203	I have a close friend whose neonate was born with severe hydrocephalus which was diagnosed at 32 weeks gestation. At 3 weeks of age the baby was diagnosed with a choroid plexus papilloma through MRI. The physicians plan to do a spinal MRI to see if it has spread. Have you found that children developing this condition in utero are more or less likely to have long term complications?	0	0	1	0	0	0	0	0	0	0	0	0	0
204	I have a close relative affected by aspergillosis. Can you tell me if there are any new treatments on the horizon for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
205	I have a cousin with osteogenesis imperfecta. Neither of his parents has the dominant gene. Is there a genetic test that can be done to determine whether I am a carrier?	0	0	0	1	0	0	0	0	0	0	0	0	0
206	I have acquired amegakaryocytic thrombocytopenia. Can you help me find more information on this disease, its treatment, and its long-term prognosis?	0	0	0	0	1	1	0	0	0	1	0	0	0
207	I have acromesomelic dysplasia. As a result of an accident, I have back and knee injuries. I was told that this bone disease makes my bones weaker and age quicker. What is the prognosis of acromesomelic dysplasia? My doctors are not familiar with this condition. Also, what is the life expectancy?	0	0	0	0	0	0	0	0	0	1	0	0	0
208	I have a daughter with megalencephalic leukoencephalopathy with subcortical cysts. Can I expect to have a healthy baby in the next pregnancy? Who can I talk to about this?	0	0	0	0	0	0	0	0	1	0	1	0	0
209	I have a daughter with this skin condition. I would like to know if there is a cure for it yet, and what sort of treatments are best. I heard about the Garra rufa "skin eating fish" being used in some places to treat certain skin disorders; will using this fish work for this type of skin disorder?	0	0	0	0	0	1	0	0	0	0	0	0	0
210	I have a fairly large schwannoma / myxoma tumor in my right arm in the tricept. I would like to know if I'm likely to have other such tumors in other parts of my body.	0	0	0	0	0	0	0	0	0	1	0	0	0
211	I have a family history of Huntington's disease.  My mother was diagnosed with it about 5 years ago.  I just needed to know some information about where I can get tested.  Also, how early can they start treatment if I am diagnosed with it?  I'm only 21 years old.  I just thought that maybe the sooner they start the better.	0	0	0	0	0	1	0	0	1	0	0	0	0
212	I have a family history of Usher syndrome.  How can I find out whether I am a carrier of Usher syndrome?	0	0	0	1	0	0	0	0	0	0	0	0	0
213	I have a few questions related to Jacobsen syndrome. Do children with this condition have any issues related to fine and/or gross motor skills? Are there problems with speech or social skills? Do they always have intellectual disabilities? If so, what level of intellectual disability is expected?	0	0	0	0	0	0	0	1	0	0	0	0	0
214	I have a friend who has adult-onset Tay-Sachs disease. His symptoms began during middle school. What is the life-expectancy for individuals with this condition?	0	0	0	0	0	0	0	0	0	1	0	0	0
215	I have a friend who has been diagnosed with multiple epiphyseal dysplasia. There is no other incidence of the condition within his family however his mother was born with a cleft palate. He believes he has passed on his mutation to both of his children. Based on this information do you think that his mutation is a result of random mutation or could there be a link between his mothers cleft palate and his condition? Is this condition dominant? And if so, what is the likelihood he could pass it on to his next child?	0	0	0	0	0	0	0	0	0	0	1	0	0
216	I have a friend who is affected by progressive hemifacial atrophy. How is this condition treated? How can I locate doctors who are familiar with the management of this condition?	0	0	0	0	0	1	0	0	1	0	0	0	0
217	I have a friend whose 8 month-old baby was recently diagnosed with Tay-Sach disease. Very few other children in the my country have been diagnosed with this disease and I’m desperate to learn more about it such its treatment and the availability of clinical trials.	0	0	0	0	0	1	0	0	1	0	0	0	0
218	I have a friend whose grandson recently died from complications associated with Stevens-Johnson syndrome. I have not been able to find information about this condition. What information can you provide?	0	0	0	0	1	0	0	0	0	0	0	0	0
219	I have a friend whose husband has Crohn's disease. She may be pregnant and is wondering what the likelihood is that her baby will have this disease.  Is there a test that can diagnose Crohn's disease during pregnancy?	0	0	0	1	0	0	0	0	0	0	1	0	0
220	I have a friend whose toddler son was diagnosed with Cockayne syndrome. I would really like some more information about this condition and the survival rate for his son.	0	0	0	0	1	0	0	0	0	1	0	0	0
221	I have a friend who was diagnosed with Jarcho-Levin syndrome at birth. Is there information available about this condition that might be relevant to an adult?	0	0	0	0	1	0	0	0	0	0	0	0	0
222	I have a good friend who has a 15 year-old son. The boy suffers from microvillus inclusion disease. They live in Russia. Local doctors have told her that there is no treatment for that rare disease, but we suppose that Western medicine is more developed and there is a solution. How might this condition be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
223	I have a loved one with hereditary leiomyomatosis and renal cell cancer who has a lot of skin leiomyomas. Does this mean he is at a particularly increased risk for developing renal cell carcinoma?	0	0	1	0	0	0	0	0	0	0	0	0	0
224	I have a low white blood cell count as well as several other symptoms.  Although I have undergone testing, I still do not have a diagnosis.  I recently learned about a young lady who had IRAK4 deficiency.  I would like to know more about the conditon.	0	0	0	0	1	0	0	0	0	0	0	0	0
225	I have already had extensive surgery to remove a microcystic adnexal carcinoma from my forehead and eyelid.  Is radiation therapy recommended for this type of cancer?	0	0	0	0	0	1	0	0	0	0	0	0	0
226	I have a nephew who has Eagle-Barrett syndrome. I am interested in finding out what causes this to happen to babies, and surgical procedures that could fix some of the damage caused by this.  Because of my nephew, I want to be involved in some way to help facilitate more research to find out the causes of this syndrome, and how to prevent it.  If there is any information you can give on who to talk to about this, or where to start I would greatly appreciate it.	0	1	0	0	1	1	0	0	1	0	0	0	0
227	I have an infant daughter with Coffin Siris Syndrome. I am trying to find information about the disease as well as connect with other families who have an affected child.	0	0	0	0	1	0	0	0	1	0	0	0	0
228	I have an orbital varix in my left eye. It affects my vision and causes eye pain. How can it be managed?	0	0	0	0	0	1	0	0	0	0	0	0	0
229	I have a patient who is suspected of having glycogen storage disease type 0. Is genetic testing for this condition available?	0	0	0	1	0	0	0	0	0	0	0	0	0
230	I have a patient who may have Williams syndrome. His mother was previously diagnosed with familial Mediterrranean fever, but she has facial features consistent with Williams syndrome. Do Williams syndrome and familial Mediterranean fever share any signs or symptoms?	0	0	0	0	0	0	1	0	0	0	0	0	0
231	I have a patient with Muir-Torre syndrome. Can you provide me with information related to this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
232	I have a patient with urine citrulline levels at twice the upper limit of normal. All other urinary amino acids were low-normal. This patient has legitimate complaints of decreased energy as well. Standard CPE labs were normal. What is the typical presentation of citrullinemia type II? How is it diagnosed? How is it treated? Who is conducting research into this condition.	0	0	0	1	0	1	1	0	1	0	0	0	0
233	I have a pregnant colleague that has been told her unborn child has Mohr syndrome (also known as orofaciodigital syndrome 2). I work in the health care field and have never heard of this disorder. I am looking for credible information that will help me understand this syndrome. I want to be informed.	0	0	0	0	1	0	0	0	0	0	0	0	0
234	I have a problem. My hospital doesn't know a lot about Ochoa syndrome. I would like to know more if there are possibilities to live with it. I really can't handle it anymore. I'm 20 years old and I'm living since my birth with it. Please let me know.	0	0	0	0	0	1	0	0	0	0	0	0	0
235	I have a relative who has essential tremor. How might this condition affect the activities of daily living? Are there ways to manage the symptoms?	0	0	0	0	0	1	0	0	0	1	0	0	0
236	I have a single palmar crease on both of my hands.  Do I have an increased chance of having a child with Down syndrome or another chromosome disorder?	0	0	0	0	0	0	0	0	0	0	1	0	0
237	I have a son who is 18 months old. He has Sturge-Weber and we are wondering what the percentage is that his birthmark will protrude from his face. What are the pros and cons of laser surgery? If we were to get the surgery, when would be the best time to get it done?	0	0	1	0	0	1	0	0	0	0	0	0	0
238	I have a student who appears to have some of the symptoms of agnosia. He had the cord wrapped around the neck at birth. Most of what I've read about visual agnosia is that it happens when older patients have a stroke. Would it be possible for a child, such as this student, to have this condition?	0	0	0	0	0	0	0	0	0	0	1	0	0
239	I have autoimmune hepatitis. Can you provide me with new information about this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
240	I have Axenfeld-Rieger syndrome.  My symptoms include dislocated pupils and very high astigmatism with a detaching lens. I recently learned that a flattened mid-face, missing teeth, and mid section anomalies are also symptoms of this disorder.  I would like to start a family; however I would first like to learn more about the chances of passing this on to my future children and the likelihood that their condition would be more serious than my own.  Also, the lens in one of my eyes is detaching and migrating away from my displaced pupil.  Is this a common effect of the disease? Can it be treated?	0	0	0	0	0	1	0	1	0	0	1	0	0
241	I have a young friend who is affected by acute febrile neutrophilic dermatosis (Sweet syndrome). Can you provide me with information about this condition that can be shared with her physicians?	0	0	0	0	1	0	0	0	0	0	0	0	0
242	I have Beals syndrome (also known as congenital contractural arachnodactyly). I am a 19-year-old female and I was wondering how tall I would be because of this condition? The symptom is having a tall stature, but how tall? I'm 5'3 right now.	0	0	0	0	0	0	0	1	0	0	0	0	0
243	I have Becker's nevus on the top of my right pectoral. I'm heavily into fitness and weight lifting. I've noticed that it is impossible for me to develop an even chest. Muscle seems to not grow where my nevus is located. Does Becker's nevus prohibit muscle development? Does the nevus affect me in that manner, and if so, is there any way to fix this?	0	0	0	0	0	1	0	1	0	0	0	0	0
244	I have been diagnosed with a benign pseudomyxoma peritonei.  Most of the information I have found relates to the malignant type.  I had a hysterectomy and appendectomy with debulking three weeks ago.  I was told I had a large ovarian tumor plus a tumor on my appendix, which seemed to be the one secreting mucus. What is the treatment for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
245	I have been diagnosed with Behcet's disease. Although I have other symptoms, my eyes have been causing me the most trouble. Please tell me more about the ocular issues with Behcet's and how they might be treated.	0	0	0	0	0	1	0	1	0	0	0	0	0
246	I have been diagnosed with cholesteatoma. I am looking for general information about this condition, including the chances of being affected.	0	0	0	0	1	0	0	0	0	0	1	0	0
247	I have been diagnosed with CPVT. I've been off medication for a few years and have been playing sports regularly.  I've never had any syncope. I just read that if untreated CPVT is highly lethal. And now I'm starting to care. I have some questions about this disease: Is there any case of remission? Is it curable? Are sports under treatment better than without treatment? Is there a CPVT specialist anywhere in the world? What is the most up-to-date article/research about this disease?	0	0	0	0	1	1	0	0	1	1	0	0	0
248	I have been diagnosed with erythromelalgia, and received a prescription for mexiletine.  I noticed on the patient information sheet that it said that this medication is an anti-arrhythmic used to treat irregular heartbeat.  Have you heard about mexiletine being used for erythromelalgia?	0	0	0	0	0	1	0	0	0	0	0	0	0
249	I have been diagnosed with familial adenomatous polyposis (FAP), and my 9-year-old daughter is now having the same signs and symptoms as me. I know you can not give out medical advice, but I'm stuck and need some help for my daughter. How do I find a specialist for children with FAP?  At what age do children begin having genetic testing for FAP?	0	0	0	1	0	0	0	0	1	0	0	0	0
250	I have been diagnosed with familial hemiplegic migraine.  Even though I have been taking medication, I am experiencing unsteadiness, headache pain, facial drooping, and I can't walk without getting off balance. It is normal to have these symptoms for three weeks when taking medication for the condition? Will this condition go away with age?	0	0	0	0	0	1	0	0	0	1	0	0	0
251	I have been diagnosed with frontal fibrosing hair loss (alopecia).  Is this condition going to cause all of my hair to fall out or will the hair loss stop at some point?  Will medication help, or are the side effects too concerning?	0	0	0	0	0	1	0	1	0	0	0	0	0
252	I have been diagnosed with intralobular pulmonary sequestration. What are the symptoms of this condition? How is it treated?	0	0	0	0	0	1	1	0	0	0	0	0	0
253	I have been diagnosed with Isaac's syndrome. I would like to learn more about this condition and how I can locate physicians familiar with it's management.	0	0	0	0	1	0	0	0	1	0	0	0	0
254	I have been diagnosed with Melnick-Needles syndrome.  How can I learn more about this disease?	0	0	0	0	1	0	0	0	0	0	0	0	0
255	I have been diagnosed with MERRF and I am looking for information and treatment options for this condition that I can share with my local doctor.	0	0	0	0	1	1	0	0	0	0	0	0	0
256	I have been diagnosed with morphea. Can you please provide me with patient-friendly information about this disease?	0	0	0	0	1	0	0	0	0	0	0	0	0
257	I have been diagnosed with Mucha-Haberman disease. I don't know how I contracted this disease. For a couple of years, I was very sick and couldn't seem to get well. Now my symptoms flare up occasionally but I have blisters all of the time. What causes this condition? How is it treated?	0	1	0	0	0	1	0	0	0	0	0	0	0
258	I have been diagnosed with Norum disease, a condition also known as lecithin cholesterol acyltransferase (LCAT) deficiency. I would appreciate any information that you could provide and post about this disease, as three generations of my family have been identified with it.	0	0	0	0	1	0	0	0	0	0	0	0	0
259	I have been diagnosed with pheochromocytoma but believe that there is more to this than has been tested thus far. After reading numerous literature on everything I could find, I realized that something genetic and family based was taking place. Can you help me?	0	0	0	0	0	0	0	0	0	0	1	0	0
260	I have been diagnosed with pigmented purpuric eruption. What are the symptoms of this condition? What causes it? Can it be treated? Will it eventually go away?	0	1	0	0	0	1	1	0	0	1	0	0	0
261	I have been diagnosed with polycystic ovarian syndrome (PCOS), but the medication I am taking does not seem to be working. I recently learned that late-onset congenital adrenal hyperplasia can be misdiagnosed as PCOS in some women. Can you help me find information on PCOS and late-onset congenital adrenal hyperplasia?	0	0	0	1	0	0	0	0	0	0	0	0	0
262	I have been diagnosed with primary melanoma of the small intestine. I can't find any information on this type of cancer. Can you help? Is there anyway to find other people with this condition?	0	0	0	0	1	0	0	0	1	0	0	0	0
263	I have been diagnosed with prurigo nodularis. Three years ago I was started on thalidomide for treatment. Since then I have developed many side effects, yet the prurigo nodularis has not been cured. How can this condition be treated? Is research being conducted to learn more about possible treatment options?	0	0	0	0	0	1	0	0	0	0	0	0	0
264	I have been diagnosed with pudendal neuralgia. My doctor has treated it with with pudendal nerve entrapment surgery and botox injections.  Is there any scientific evidence from controlled trials or research studies that show botox is an effective treatment?  Also, are there any other recommended treatments other than what my doctor has already tried for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
265	I have been diagnosed with retroperitoneal fibrosis. Can you provide me with information about this disease?	0	0	0	0	1	0	0	0	0	0	0	0	0
266	I have been diagnosed with sarcoidosis. This condition has caused me severe pain and I wish to learn anything that might be useful to share with my doctors. Could this condition be the result of working in a hot silk-screen paint shop? Will I ever get over this condition? How can I manage the symptoms?	0	1	0	0	1	1	0	0	0	1	0	0	0
267	I have been diagnosed with Takayasu arteritis. It has changed my life in many ways and I am yet to accept this condition. It has been very difficult for me to deal with this diagnosis and I'm not sure who to talk to or who to get information from.	0	0	0	0	1	0	0	0	1	0	0	0	0
268	I have been diagnosed with Tarlov cyst disease. Is there a cure for this condition? How is it treated? Are there surgical options? How can I find a doctor who is knowledgeable about Tarlov cysts?	0	0	0	0	0	1	0	0	1	0	0	0	0
269	I have been diagnosed with trabecular fiber myopathy and can find nothing about it. I would like any information you can give me.	0	0	0	0	1	0	0	0	0	0	0	0	0
270	I have been diagnosed with urachal cancer. Are there any new studies or treatments available for this rare disease?	0	0	0	0	1	1	0	0	0	0	0	0	0
271	I have been diagnosed with Wells syndrome. How is this condition treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
272	I have been diagnosed with Wilson disease. What are the long-term effects of this disease? Will I need to be on medication for the rest of my life? Does Wilson disease count as a disability because an affected person has it all of their life? What are the chances that my children will have Wilson disease?	0	0	0	0	0	1	0	0	0	1	1	1	0
273	I have been having very bad upper stomach pains and wanted to know if any of the pains are coming from the Crigler Najjar syndrome, type 2 that I have? I’ve been experiencing this pain for two months.	0	0	0	0	0	0	0	1	0	0	0	0	0
274	I have been on hemodialysis for a year as a result of Alport syndrome. My two uncles died of kidney disease associated with this condition. What treatments are available for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
275	I have been recently diagnosed with antisynthetase syndrome, acute interstitial lung disease, muscle weakness, skin involvement, scleroderma, and dermatomyositis. Could you please provide me with information on antisynthetase syndrome?  I am also interested in learning about prognosis, treatment, and clinical trials.	0	0	0	0	1	1	0	0	0	1	0	0	0
276	I have been recently diagnosed with Evans syndrome. Can you provide me with information about this condition, including treatment options and mortality rates?	0	0	0	0	1	1	0	0	0	1	0	0	0
277	I have been recently diagnosed with superior mesenteric artery syndrome. Can you provide me with information about this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
278	I have been recovering from Parsonage Turner syndrome for years. I still have some pain, the fatigue is still with me and my quality of life is compromised. Can this develop into something else? Also, is it normal that I still have fatigue after 5 plus years?	0	0	0	0	0	0	0	1	0	0	0	0	0
279	I have been researching familial hypercholesterolemia. A couple of web sites have called it autosomal dominant. If I remember correctly that would mean that in order for a person to have FH, he would have to have a parent with FH. Is my thinking correct on this matter?	0	0	0	0	0	0	0	0	0	0	1	0	0
280	I have been told that I probably have Marfan's Syndrome and at this point it appears to be a mild form of the condition (aortic aneurysm and mitral valve prolapse). I am a 60 year old mother of 4 children. My question is that because this is a genetic condition, what are the chances that my children and grandchildren have inherited it and will they also inherit the mild form?	0	0	0	0	0	0	0	0	0	0	1	0	0
281	I have cherubism. I was diagnosed at age 3 and had the tumor surgically removed at age 13. Then I had implants placed for permanent teeth at age 20. Today I live normally. My main concern and reason for contact is: I'd like to know more about the cause of cherubism. How or why did I get it? There is no history in either of my families of cherubism. What are the signs and symptoms of cherubism? Do my future children run a strong risk? Can I be tested to see if I am a carrier? If I find that I am not a carrier can they still turn up with the disease? Is there prenatal testing available for cherubism. As you can see, I am mostly concerned for the future of my family. I do not have kids yet, but do plan to.	0	1	0	1	0	0	1	0	0	0	1	0	0
282	I have cone-rod dystrophy. I have looked all over the internet for answers about my condition. Do you have information about treatments or possible future treatments? Are there any studies or trials that are being done that I might be able to take part in?	0	0	0	0	1	1	0	0	0	0	0	0	0
283	I have congenital ichthyosiform erythroderma since birth. I want to know if there is any treatment because I am really looking to get treatment for this disease.	0	0	0	0	0	1	0	0	0	0	0	0	0
284	I have dense deposit disease. Are nausea and vomiting symptoms of the disease?	0	0	0	0	0	0	1	0	0	0	0	0	0
285	I have diffuse idiopathic skeletal hyperostosis (DISH), a condition also known as Forestier disease. I would like to learn more about this disease, including how it is treated.	0	0	0	0	1	1	0	0	0	0	0	0	0
286	I have disseminated granuloma annular. Will this condition cause my tissue to die? Have there been reports of granuloma annular following ingestion of allopurinol?	0	1	0	0	0	0	0	1	0	0	0	0	0
287	I have Duane syndrome. These is no known family history. What the probability of passing this condition on to any future offspring?	0	0	0	0	0	0	0	0	0	0	1	0	0
288	I have Dubin-Johnson syndrome. Can this condition be passed along to another individual through sexual intercourse?	0	0	0	0	0	0	0	0	0	0	1	0	0
289	I have endocarditis for the fourth time. Each time it has been caused by the same bacteria. How can I prevent reinfection?	0	0	0	0	0	1	0	0	0	0	0	0	0
290	I have epidermolysis bullosa acquisita. Occasionally I have to have my fingernails removed, as they act like ingrown toe nails. My doctors tell me there is no other way to prevent them from growing back, except for phenol carbolic acid, and I had a reaction to that when they took off a toe nail. In addition, I would like to contact other people with epidermolysis bullosa acquisita.	0	0	0	0	0	0	0	0	1	0	0	0	0
291	I have erythema elevatum diutinum. How might this condition be treated? Will I ever be able to take less medication? Can diet affect this condition? Will it ever go away? Is this condition genetic?	0	0	0	0	0	1	0	0	0	1	1	0	0
292	I have experienced several bouts of hiccups that go on for several weeks to months with no relief. I have had all of the normal tests to determine a cause, but no cause has been identified. I also have other stomach problems. What causes intractable hiccups? What tests may be conducted to determine the underlying cause of intractable hiccups? Can intractable hiccups be related to other stomach problems? How might intractable hiccups be treated?	0	1	0	1	0	1	0	1	0	0	0	0	0
293	I have factor V Leiden and was wondering if it's safe to use oral contraceptives. I want to take the pill called Levlin.	0	0	0	0	0	0	0	1	0	0	0	0	0
294	I have familial adenomatous polyposis (FAP). Recently, my physicians have identified polyps in the upper portion of my intestine, my gall bladder, and my stomach. Are these all the same type of polyps?	0	0	0	0	1	0	0	0	0	0	0	0	0
295	I have fibrodysplasia ossificans progressiva and recently had my first fracture.  I am currently taking medication but continue to have pain in my leg, hand, and elbow.  What are the risks of operation?  Can myositis ossificans be passed to the next generation?	0	0	0	0	0	1	0	0	0	0	1	0	0
296	I have fibromuscular dysplasia in several of my arteries. My doctor says this condition is usually caused from smoking, but I have never smoked. What would cause this disease to occur in so many arteries?	0	1	0	0	0	0	0	0	0	0	0	0	0
297	I have fibromyalgia and am concerned that my family members will develop, especially my daughter who is beginning to have symptoms of the condition.  Is fibromyalgia genetic?  Is there genetic testing for the condition?	0	0	0	1	0	0	0	0	0	0	1	0	0
298	I have glycogen storage disease type 5. I have also had fatty liver for as long as I can remember. In addition my CPK levels on a good day can be 800. Can my liver problems be attributed to glycogen storage disease type 5?	0	0	0	0	0	0	0	1	0	0	0	0	0
299	I have green eyes with a yellow/brown tint, but one fourth of my right eye is dark brown.  I've been wanting to know more about heterochromia iridis: what is it and how rare is it?	0	0	0	0	1	0	0	0	0	0	1	0	0
300	My father had arachnoiditis. Can you provide information about this condition, including symptoms, causes, and if it is genetic?	0	1	0	0	1	0	1	0	0	0	1	0	0
301	My father has Buschke Fischer keratoderma palmo-plantaris. Is there any treatment for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
302	My father has Crohn's disease for which he has had many surgeries in his lifetime. His brother (my uncle) also had this disease as a young adult.  Can you tell me what percent chance I would have of having this disease as well? My fathers other young adult children do not have it as of yet.	0	0	0	0	0	0	0	0	0	0	1	0	0
303	My father has multiple system atrophy with orthostatic hypotension.  Is this hereditary?  Is this something my brother and sisters or our children should make our doctors aware of in case symptoms start appearing?	0	0	0	1	0	0	0	0	0	0	1	0	0
304	My father is 63 years old and suffers from Shapiro syndrome. So far no doctor or treatment plan has helped. The condition and length of time of the attacks continue to get worst.	0	0	0	0	0	1	0	0	1	0	0	0	0
305	My father may have this disease. Should I be tested? Where? How? If this is caught early can anything be done about it? What treatment opportunities are there? Is this limited to French Canadians? We cannot trace our genealogy back to French Canada but we do know that some of our ancestors came from Europe.	0	0	0	1	0	1	0	0	1	0	1	0	0
