	id	qid1	qid2	question1	question2	is_duplicate
2458	2478	2478	2478	What order should the various colposcopy procedures be done?  What are the possible abnormal findings?  What percent acetic acid?  When cytobrush?  Bethesda system translation?  Transformation zone versus squamocolumnar junction?	How do you inject the bicipital tendon?	0
2459	3204	3204	3204	When the total cholesterol is low, does it matter if the high-density-lipoprotein cholesterol is also low?	When the total cholesterol is low, does it matter if the high-density-lipoprotein cholesterol is also low?	1
2460	7506	7506	7506	Yesterday I saw a 15-year-old girl with shingles.  I sent her to the dermatologist because it was an atypical presentation, since she was only 15, so I was wondering whether it could be an immune deficiency.	What is the dose of Sporanox?	0
2461	3754	3754	3754	If someone has a history of preterm labor or preterm delivery, do they need any special monitoring or surveillance during the present pregnancy?	If someone has a history of preterm labor or preterm delivery, do they need special surveillance during the present pregnancy?	1
2462	5511	5511	5511	In a patient using long term steroids for asthma, what screening tests, if any, should be done (for example, dual-energy x-ray absorptiometry (DEXA) scan, cataract check, diabetes screening, and so on)?	In a patient using long term steroids for asthma, what screening tests should be done?	1
2463	3528	3528	3528	What is the initial treatment for community acquired pneumonia in the adult?	What is the treatment for community acquired pneumonia in the adult?	1
2464	2308	2308	2308	Can oral contraceptives cause a bone infarct (aseptic necrosis) in the tibia?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
2465	3729	3729	3729	If you treat a laboring patient for known or suspected Group B streptococcus, what should you do with the newborn?	If you treat a laboring patient for Group B streptococcus, what should you do with the newborn?	1
2466	3202	3202	3202	Is there any problem with chronic steady use of Midrin such as tolerance or addiction?	Is there any problem with chronic steady use of Midrin such as tolerance or addiction?	1
2467	471	471	471	I would have had to look up mefloquine but he is staying in the city in Viet Nam so I don't need to look it up.	I would have had to look up mefloquine but he is staying in a city in Viet Nam?	1
2468	5289	5289	5289	How do you treat gallstones in pregnancy or cholecystitis?  Do you wait until after delivery?  Is there such a thing as sluggish gallbladder during pregnancy that would cause symptoms?	How do you treat gallstones and cholecystitis in pregnancy?	1
2469	8029	8029	8029	What is the differential diagnosis for elevated direct bilirubin?	What is the differential diagnosis for elevated direct bilirubin?	1
2470	6763	6763	6763	"The study physician mentioned this patient was a ""puzzle.""  I (investigator) asked if there was a question there.  She said the patient (46-year-old woman) had heel pain worse in the morning and on first standing to walk.  So I'm sure there are questions in there.  ""What's causing her pain?"""	What is in Ortho Novum 1/35?	0
2471	5981	5981	5981	If one child has streptococcal sore throat and the sibling gets sick, should you culture the sibling or just treat over the phone?	Can you use Prozac along with lithium?	0
2472	7188	7188	7188	"Twenty-six-month-old boy.  Serum sickness.  This kid came in first with hives on amoxicillin, no mucus membrane involvement.  Then his ankles were swollen and tender and he wouldn't walk and he had a fever.  ""The question was, what caused this?  Was it a serum sickness?  Was it . . . ?  It wasn't Stevens Johnson Syndrome."""	What is the cause and treatment of this old man's stomatitis?	0
2473	7075	7075	7075	37-year-old on Triphasil with 10 days of bleeding starting 5 days before the placebo pills.  I'm just checking the dose of Provera for dysfunctional uterine bleeding.	What is the approach to a woman on the pill with irregular bleeding?	1
2474	6287	6287	6287	"36-year-old woman.  ""I've asked this question . . . whether it's mandatory . . . blood pressure and birth control pills . . . I've had a couple of patients on it . . . .""  I (investigator) said, ""So the question is, ""If you have hypertension, should you stop the birth control pill?""  He said, ""Right, right."""	Is melatonin good for anything?  What is the dose?	0
2475	597	597	597	The cardiologist said in his letter that the patient has a distinct fourth heart sound.  Why aren't I hearing the fourth heart sound?  I couldn't hear it -- I guess I need to review heart sounds.	Cardiologist heard a distinct S4 (fourth heart sound). Why don't I hear an S4.	1
2476	8082	8082	8082	Patient was seizing.  How to appropriately correct low serum sodium (113) that was causing the seizing? Patient was on a stimulant.	How to appropriately correct low serum sodium that was causing the seizing?	1
2477	6079	6079	6079	"The study physician received a phone call from a pediatric gastroenterologist in a different city regarding a 2-month-old she had referred with gastroesophageal reflux.  She (study physician) said, ""Can you tell me a little bit about how much you're using Prilosec for infants and kids?"""	What are the indications for using Prilosec in an infant?	1
2478	183	183	183	Should a gestational diabetic have any antenatal fetal well-being testing done?	Let's give these immunizations.  That's right isn't it?	0
2479	4428	4428	4428	Do you always need to do a dilatation and curettage if you think someone has had a completed spontaneous abortion?	Do you always need to do a dilatation and curettage if you think someone has had a completed spontaneous abortion?	1
2480	6230	6230	6230	"Two patients with the same question regarding asymptomatic femoral bruits.  ""Why does she have this bruit?  Do I need to look for peripheral vascular disease?"""	What is the evaluation for a femoral artery bruit?	1
2481	1382	1382	1382	I tend not to believe drug representatives, but are there real differences in the gastrointestinal side effects among various nonsteroidals?  (Said this while pulling samples of Relafen off the shelf to give to patient.)	What antibiotic should I use for this diabetic patient's infected foot ulcer?	0
2482	8213	8213	8213	What is the bolused dose of morphine for a child who was on a drip?	What is the bolused dose of morphine for a child who was on a drip?	1
2483	7231	7231	7231	Do you need to do anything else when somebody develops secondary enuresis, besides a urinalysis?	Is a urinalysis adequate workup for enuresis?	1
2484	5713	5713	5713	I saw a 6-month-old last week, and the mother asked if she should be on fluoride supplements.  They live in the country and use well water.  I didn't know.	Should she be on fluoride?	1
2485	6569	6569	6569	72-year-old female.  How do you figure out restrictive lung disease in a patient with a normal chest x-ray?  What's the workup?	What are Occupational Safety and Health Administration (OSHA) rules for using liquid nitrogen (that is, protection by gloves, et cetera)?	0
2486	1257	1257	1257	What size tube does Zovirax ointment come in?	Let's give these immunizations.  That's right isn't it?	0
2487	5595	5595	5595	In this patient who is not responding to nonsteroidal anti-inflammatory drugs for superficial thrombophlebitis, what is round two?	At what ages should you do a Denver Developmental Screening Test?	0
2488	5124	5124	5124	What should you do about the pancytopenia that can occur with alcoholism besides just withdrawing alcohol?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
2489	1609	1609	1609	Are there any drugs on this list that would interfere with general anesthetic agents? (Vasotec, Ultram, Prozac, Dicyclomine, Ambien, Tylenol)	Is melatonin good for anything?  What is the dose?	0
2490	7363	7363	7363	"Eight-year-old boy with recurrent abdominal pain.  I called Doctor X (pediatric gastroenterologist) and said, ""OK, what is this?  I don't know what to do."""	What would cause severe colicky pain in an 8-year-old boy?	1
2491	1254	1254	1254	How often should I be seeing this patient with hypertension and hyperlipidemia?	How often should I be seeing this patient with hypertension and hyperlipidemia?	1
2492	1302	1302	1302	What is the best interval to repeat thyroid tests on someone who is on thyroid replacement and how soon after I change the dose should I check the level?	What is the best interval to repeat thyroid tests when the patient is on replacement?	1
2493	4240	4240	4240	What is the angiotensin converting enzyme (ACE) inhibitor of choice?	Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?	0
2494	5616	5616	5616	47-year-old woman with rash, no better.  The question is what is this rash from and how to treat it?	What would cause red raised papules on the legs, feet, abdomen, and hands?	1
2495	650	650	650	At what point do I start him on something prophylactic for his asthma, rather than just as-needed Proventil metered-dose inhaler?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	0
2496	7180	7180	7180	What is the lowest possible maintenance dose of prednisone for chronic obstructive pulmonary disease that will do anything rather than just a placebo effect?  Is it just physiologic to give 1 milligram twice a day?	Is melatonin good for anything?  What is the dose?	0
2497	6318	6318	6318	"27-year-old woman.  ""For someone on Ritalin for adult attention deficit disorder and depression, who has an elevated blood pressure and pulse, is there any alternative?"	What is a good steroid eye drop?	0
2498	5283	5283	5283	When should you suspect disseminated intravascular coagulation (DIC) and how do you treat it?	Phone. Child put fingers in mouth after holding an iguana. Going to get anything?	0
2499	438	438	438	What is the practicality of freezing sperm before you do a vasectomy?  We got some information from the University but how long can you freeze sperm and still have it be good?	What is the practicality of freezing sperm before you do a vasectomy?	1
2500	3373	3373	3373	What does the JNC (Joint National Commission) say about which antihypertensive to start first (and what to add) in someone with no other illnesses or mitigating circumstances?	What does the Joint National Commission say about which antihypertensive to start first?	1
2501	80	80	80	Are there better materials on natural family planning than what I have?	Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?	0
2502	2568	2568	2568	How long does benign positional vertigo usually last?	Can you use Prozac along with lithium?	0
2503	2542	2542	2542	Could phenol or xylene cause neurologic disease such as weakness on one side?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
2504	607	607	607	What is causing the elevated liver function tests?	I wonder if this patient could have a rotator cuff thing?	0
2505	4395	4395	4395	How do you approach the asymptomatic patient with diffuse thyroid enlargement noted on routine exam?  What is the work up?	Can Staphylococcus or Haemophilus influenza sepsis give same clinical picture as streptococcal septicemia?	0
2506	2502	2502	2502	Can the HDL (high-density-lipoprotein) cholesterol be low normally if the total cholesterol is low?	How should I treat polymenorrhea in a 14-year-old girl?	0
2507	563	563	563	He has sleep apnea.  They recommended using a continuous-positive-airway-pressure (CPAP) mask but before I noticed that, the question came to mind, how should I treat his sleep apnea?  Continuous-positive-airway-pressure?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
2508	1992	1992	1992	Same immunocompromised woman had pulmonary embolus, smoker, on oral contraceptives.  If her chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful or is that always going to be abnormal for her?	If chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful?	1
2509	7133	7133	7133	"5-year-old boy.  Luckily this kid can take pills but ""which stimulants come in liquid form?"	Which stimulants come in liquid form?	1
2510	4203	4203	4203	Should we be getting umbilical cord gases on all deliveries?	Should we be getting umbilical cord gases on all deliveries?	1
2511	3403	3403	3403	Should a 6-week-old infant exposed to chicken pox in a sibling receive varicella-zoster immune globulin (VZIG) or acyclovir?	Should a 6-week-old exposed to chickenpox receive varicella-zoster immune globulin or acyclovir?	1
2512	4858	4858	4858	What is a normal body mass index (BMI)?	What is a normal body mass index?	1
2513	3876	3876	3876	Do you need parental consent to insert a Norplant in someone under age 18?	Do you need parental consent to insert a Norplant in someone under age 18?	1
2514	4591	4591	4591	What should you do if you think you have someone with streptococcal sore throat who is resistant to penicillin?	What should you do if you have someone with streptococcal sore throat who is resistant to penicillin?	1
2515	7893	7893	7893	What dose of Periactin and Atarax does this patient need?	How should I treat polymenorrhea in a 14-year-old girl?	0
2516	4377	4377	4377	Could thirst, hypertension, and headaches, with the thirst and headaches improving on an angiotensin converting enzyme (ACE) inhibitor be related?	Could thirst, hypertension, and headaches be related?	1
2517	213	213	213	Can Lorabid cause headaches?	Can Lorabid cause headaches?	1
2518	8066	8066	8066	What are the effects of hypercarbia on cardiovascular function?	What are the effects of hypercarbia on cardiovascular function?	1
2519	8131	8131	8131	What is this protein allergy in breast feeding?	What is this protein allergy in breast feeding?	1
2520	6561	6561	6561	85-year-old woman.  Hemoglobin has been about 11 for 5 years, normal iron studies.  If you have someone with borderline anemia (hemoglobin 10 or 12), when are Procrit (erythropoietin) injections indicated?	Patient with sore toe, history of gout, uric acid normal. Hard to diagnose gout with normal uric acid.	0
2521	865	865	865	This young man has attention-deficit-hyperactivity disorder (ADHD) and is describing what sounds like depersonalization episodes.  I wonder if these could be a seizure equivalent?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
2522	788	788	788	I had her on Macrodantin for a urinary tract infection in December and she got a cough.  Now has another urinary tract infection.  Saw a urologist and was started on Macrodantin and was told that was the only thing that would work.  Is her cough from Macrodantin?  I switched her to Cipro.	What is in Ortho Novum 1/35?	0
2523	1807	1807	1807	A reference says you should monitor complete blood counts (CBCs) and liver functions when on Klonopin, but how often?	A reference says you should monitor complete blood count (CBC), liver function tests on Klonopin, but how often?	1
2524	1893	1893	1893	She had a hyperextension injury to her hand.  Is there a fracture?	She had a hyperextension injury to her hand.  Is there a fracture?	1
2525	6679	6679	6679	53-year-old man.  What is causing his testicular pain?	Should I do streptococcal tests or am I wasting money to do them on a 3 1/2-year-old?	0
2526	4593	4593	4593	What is the normal Q-T interval? (QT interval)	What is the normal QT interval?	1
2527	4954	4954	4954	How do you give local anesthesia (nesicaine, xylocaine, lidocaine) for endometrial biopsy (Pipelle) or endocervical curettage (ECC)?	How do you give local anesthesia for endometrial biopsy and endocervical curettage?	1
2528	160	160	160	What should you do for asymptomatic carotid bruits or bruits in general?  Folic acid?,  Vitamin B1?  Aspirin?	What to do for asymptomatic carotid bruits or carotid bruits in general?	1
2529	5523	5523	5523	How should you treat osteoporosis in a man, caused by chronic steroid use?	How should you treat osteoporosis in a man caused by chronic steroid use?	1
2530	8119	8119	8119	What causes unilateral nosebleeds?	How should I treat polymenorrhea in a 14-year-old girl?	0
2531	2534	2534	2534	Is there any association between restless legs syndrome and spinal stenosis?	How should I treat polymenorrhea in a 14-year-old girl?	0
2532	5914	5914	5914	I saw an 8-year-old girl with a chronic vaginal discharge.  I never referred her and I didn't know who I would refer her to anyway.  I never found out what it was.	What is causing this vaginal discharge?	1
2533	1562	1562	1562	I would like him to stop working but he can't because he just started a new job.  What to do?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
2534	76	76	76	Had shortness of breath which is unusual for her.  Doctor wishes she had access to a list of things that might cause shortness of breath in a normally healthy 28-year-old.  Concerned about pulmonary embolism.	Let's give these immunizations.  That's right isn't it?	0
2535	6001	6001	6001	A newborn was found to be hypoglycemic at birth on routine screen and despite treatment it persisted and was not responsive to treatment.  The question was what to do about this.	How do you work up an infant with persistent hypoglycemia?	1
2536	1971	1971	1971	Status post recent coronary angioplasty.  If he can bring his lipids into order with diet alone, is that satisfactory or based on the evidence, should he be started right off on the lipid drugs?	Status post coronary angioplasty. Okay to bring lipids down with diet only or start drugs right off?	1
2537	2548	2548	2548	How strict should you be in preventing participation in sports if you have Osgood Schlatter's Disease?	How should I treat polymenorrhea in a 14-year-old girl?	0
2538	2758	2758	2758	What is the name of the syndrome where you get a lot of seborrheic keratoses as a sign of internal malignancy?	What antibiotic should I use for this diabetic patient's infected foot ulcer?	0
2539	4585	4585	4585	How do you report a Bonferroni correction to the p-value?	How do you report a Bonferroni correction to the p-value?	1
2540	3189	3189	3189	What causes hyperphosphatemia?	What causes hyperphosphatemia?	1
2541	1989	1989	1989	Has a Pseudomonas urinary tract infection sensitive to Cipro but no other oral drugs (in nursing home).  Had a Foley catheter but now out.  Should I add another antibiotic to the Cipro (use 2 drugs)?	What is Legatrin?	0
2542	789	789	789	19-year-old man from college, saw last week, had big lymph nodes and a rash and 13% eosinophils.  What is the cause of the eosinophilia?	19-year-old male, big lymph nodes, rash, 13% eosinophils. What is the cause of the eosinophilia?	1
2543	4783	4783	4783	What do you do if someone is late for their Depo-Provera shot?  How late can they be and still not get a pregnancy test?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	0
2544	1019	1019	1019	Is there anything that can be done one week out to prevent postherpetic neuralgia?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
2545	5653	5653	5653	What is the treatment for cryptosporidium?	What is the treatment for cryptosporidium?	1
2546	5850	5850	5850	"Seven-year-old boy with possible attention deficit disorder.  I (investigator) asked him what the question was and he said, ""Well, I think 5 milligrams of Ritalin twice a day should be high enough to have some effect with a seven-year-old, but the question was, do you increase the dose or do you just put him on it or what?"""	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
2547	1978	1978	1978	What is the dose of amoxicillin in this 5-month-old who weighs 14lbs, 12oz?	What is the dose of amoxicillin in this 5-month-old who weighs 14 pounds, 12 ounces?	1
2548	7297	7297	7297	Clonus in a 2-month-old.  Mother noticed it.  Is this abnormal?	Is ankle clonus in a 2-month-old normal?	1
2549	6806	6806	6806	If a kid has a nondescript rash, would you ever treat for scabies and see if they get better?	When is it legitimate to treat a nonspecific rash with permethrin cream?	1
2550	8356	8356	8356	What is Walker-Warburg syndrome?	What is Walker-Warburg syndrome?	1
2551	2271	2271	2271	If you are treating someone for hypothyroidism and the TSH (thyroid stimulating hormone) is high (14) and the T4 (thyroxine) is normal, should you go up on the Synthroid?	If the thyroid stimulating hormone is high and the thyroxine is normal, should you go up on the Synthroid?	1
2552	806	806	806	Patient with chronic gastroesophageal reflux disease, thoroughly worked up.  Responds well to Tagamet.  He says oral vitamin B12 helps.  He asked me why.  I didn't know.	How should I treat polymenorrhea in a 14-year-old girl?	0
2553	8536	8536	8536	What is the steroid treatment for poison ivy?	How should I treat polymenorrhea in a 14-year-old girl?	0
2554	7876	7876	7876	What is WestSoy formula?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
2555	6092	6092	6092	Three-and-a-half-week-old with persistent indirect hyperbilirubinemia (up to 24).  What is the workup?	How should you workup persistent indirect hyperbilirubinemia in a newborn?	1
2556	4389	4389	4389	What are the relative costs of various diet pill regimens with fenfluramine (Pondimin), Phentermine (Fastin, Adipex-P) and dexfenfluramine (Redux)?	What are the relative costs of various diet pill regimens?	1
2557	5694	5694	5694	79-year-old man.  In May 1999 his prostate-specific antigen was 3.8.  Now, two and a half years later, it's about 7.  So the question is what to do with this patient.	What should you do with a 79-year-old man with a total prostate-specific antigen of 4.9 and a free prostate-specific antigen of 14%?	1
2558	6982	6982	6982	"Ludiomil.  Patient came in to the emergency room on it.  ""What in the heck is that?"""	What is Ludiomil?	1
2559	1908	1908	1908	Could the right-sided chest pain be the shingles (no rash now)?	How should you adjust the birth control pill if someone has spotting on it?	0
2560	4507	4507	4507	What does exercise induced left bundle branch block (LBBB) mean on a treadmill (GXT)?	What does exercise induced left bundle branch block mean on a treadmill?	1
2561	6918	6918	6918	"Seven-month old boy with bronchiolitis.  ""How much methylprednisolone can I give him?"""	What is the dose of methylprednisolone?	1
2562	4817	4817	4817	What is the differential diagnosis of gynecomastia?	Why is this otherwise healthy 28-year-old woman short of breath?	0
2563	2906	2906	2906	Are serum felbamate levels clinically available?	How should you adjust the birth control pill if someone has spotting on it?	0
2564	1856	1856	1856	Patient with hypertension but history of adrenal insufficiency.  Will I make her better or worse if I treat her hypertension?	Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.	0
2565	7056	7056	7056	We had this girl with a latex allergy and wanted to give her a flu shot, but she has a latex allergy.  The stopper in the flu vaccine vial has latex in it so the question was how to deal with that.	How should you draw up the influenza vaccine for a child with a latex allergy (stopper is latex)?	1
2566	7378	7378	7378	"15-year-old boy with history of tracheoesophageal fistula, often hospitalized when younger with respiratory illnesses.  One time he had respiratory syncytial virus and was very sick and I called the tertiary center.  ""Should I give him Ribavirin?"""	What are the indications for ribavirin?	1
2567	2911	2911	2911	What is the reference to iterative hypothesis testing in New England Journal of Medicine or JAMA?	What is the dose of Imodium?	0
2568	7135	7135	7135	"4-year-old girl.  ""What percent of bronchitis in pediatric patients is viral?""  I think 90%."	What percent of bronchitis is viral?	1
2569	7588	7588	7588	I'm going to ask you (investigator).  Is that legal?  Which antibiotic would you use for an infected toe with poor circulation?	Why is this otherwise healthy 28-year-old woman short of breath?	0
2570	7072	7072	7072	66-year-old woman with a Baker's cyst.  How many Baker's cysts are related to deep-vein thrombosis?  How many people with Baker's cysts get deep vein thromboses?	Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?	0
2571	8092	8092	8092	I need some information on Henoch-Schoenlein Purpura.	I need some information on Henoch-Schoenlein Purpura.	1
2572	927	927	927	The Papanicolaou smear shows reactive cellular changes that include repair.  Can't I get a Papanicolaou smear that says negative or no atypical cells?  Do I need to do anything about this?	Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?	0
2573	7537	7537	7537	"Ten-year-old male referred with developmental delay (age 4) and attention-deficit-hyperactivity disorder, on Strattera.  ""When do you use Strattera and why would you use that out of the gait (rather than a stimulant)?"""	What are the indications for Strattera?	1
2574	732	732	732	Patient had a pleomorphic adenoma removed from her carotid artery.  Question is whether this is a totally benign condition.	Pleomorphic adenoma removed from carotid artery.  Is this a benign condition?	1
2575	2993	2993	2993	Are there any published guidelines or expert opinions on what to do if you get no endocervical cells on the Papanicolaou smear?	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	0
2576	5802	5802	5802	"4-year-old girl with an ear infection last week, treated with Augmentin.  Doctor X saw her yesterday and noted marked tenderness of the mastoid.  He (study physician) started looking in the index of a reference and I (investigator) asked him what the question was.  He said, ""What imaging study would be indicated?"""	What imaging is indicated for this 4-year-old with suspected mastoiditis?	1
2577	6268	6268	6268	21-year-old.  What to do about bacterial vaginitis in the first trimester of pregnancy?	What is the treatment for bacterial vaginosis?	1
2578	7192	7192	7192	Two-week old.  Do you stop breast feeding for mastitis?	Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?	0
2579	5276	5276	5276	What are normal pressures on a cardiac catheterization?	What are normal pressures on a cardiac catheterization?	1
2580	1576	1576	1576	Is there a generic form of Zantac?	Let's give these immunizations.  That's right isn't it?	0
2581	3249	3249	3249	What is Dr. X's method of reassurance in hypochondriacal patients?	What is Dr. X's method of reassurance in hypochondriacal patients?	1
2582	6295	6295	6295	"I have a patient with iron-deficiency anemia and heme positive stools (69-year-old man).  He refuses a gastroenterology evaluation.  It's more of a legal . . . ""How much is enough informed consent?"""	How should I treat polymenorrhea in a 14-year-old girl?	0
2583	2302	2302	2302	Is follicular carcinoma of the thyroid hereditary?  What is the hereditary one?	Is follicular carcinoma of the thyroid hereditary?	1
2584	3291	3291	3291	How do you treat persistent yeast vaginitis?	What is the name of the ophthalmic drop that has ciprofloxacin in it?	0
2585	2	2	2	Have there been any studies with low molecular weight heparin in pregnancy because I have an obstetric patient who had a deep vein thrombosis with her last pregnancy and I'm wondering if I can use it?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	1
2586	1829	1829	1829	What is the dose of PremPro?	Patient reluctant to take medication. How to control hypertension and still get her cooperation?	0
2587	2473	2473	2473	Is herpes zoster contagious?  Should a pregnant woman avoid someone with Herpes Zoster?  Can you get a herpetic whitlow by touching someone with Herpes zoster?	Is herpes zoster contagious?	1
2588	7566	7566	7566	"I asked him what he was looking up.  He said, ""whether to give drops or elixir acetaminophen to a 1-year-old for their immunizations and what dose."""	Should you give drops or elixir acetaminophen to a one-year-old?	1
2589	2280	2280	2280	Why does alcoholism cause hypoglycemia? (blood sugar = 13)	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
2590	3752	3752	3752	How do you write for Burrow's solution?	How do you write for Burrow's solution?	1
2591	883	883	883	Does her bulging fontanelle relate to her congestive heart failure?  Would you do something more about the bulging fontanelle like an ultrasound or head computerized tomography (CT)?	Does her bulging fontanelle relate to her congestive heart failure?  Would you do ultrasound or head computerized tomography (CT)?	1
2592	4051	4051	4051	What are the indications for vertical banded gastroplasty?	How should I treat polymenorrhea in a 14-year-old girl?	0
2593	1077	1077	1077	This patient has chronic obstructive pulmonary disease and essential tremor.  He wants a pulmonary consult but he's still smoking.  I am referring him at his request.  I have him on Inderal which helps his essential tremor a lot.  Should I keep him on this or take him off because of his chronic obstructive pulmonary disease?	Keep him on propranolol for essential tremor or take him off because of chronic obstructive pulmonary disease?	1
2594	5051	5051	5051	Should we be giving the pneumococcal vaccine to babies?	How do you use Redux?  What are the indications?	0
2595	2178	2178	2178	How does the IgG (immunoglobulin G) synthesis rate on cerebrospinal fluid help determine if systemic lupus erythematosus involves the central nervous system?	How does the immunoglobulin G synthesis rate on cerebrospinal fluid help determine if systemic lupus erythematosus involves the central nervous system?	1
2596	6966	6966	6966	With pulmonary embolus, where does the money lie?  Spiral computerized tomography or ventilation perfusion scan?  Which is most cost effective?  Has it been proven which way to go?	Which is the best test to rule out pulmonary embolus?	1
2597	6201	6201	6201	"""I had a 66-year-old lady with an incidental adrenal mass.  Her plasma normetanephrines came back twice the upper limit.""  ""Then I had this question about which medications affect normetanephrine levels, because she's on theophylline and has diabetes."	What medications interfere with the normetanephrine assay?	1
2598	5729	5729	5729	Can we use the QBC (automated complete blood count with automated differential) to differentiate viral from bacterial infection?	Can viral infections be differentiated from bacterial infections using the white blood count?	1
2599	5727	5727	5727	What do you do with a 39-year-old woman with dizziness, tingling in her chest and right arm, and shortness of breath?	Should this 39-year-old woman have a treadmill test?	1
2600	6911	6911	6911	"""Three-week old boy admitted with pyloric stenosis.  Intravenous fluids.""  I (investigator) asked what the question was.  She said, ""He was still keeping some formula down, but if he did stop eating, I wanted to know what kind of intravenous fluids to give.  I knew how to calculate the rate, I just wanted to know the kind of fluid."""	What intravenous fluid should be used in an infant?	1
2601	8316	8316	8316	What are the laws regarding a 13-year-old who is pregnant?	What are the laws regarding a 13-year-old who is pregnant?	1
2602	5251	5251	5251	Do opioids (narcotics) work for chronic pain?	Do opioids (narcotics) work for chronic pain?	1
2603	8276	8276	8276	If a child receives his/her pneumococcal vaccine when over a year old, how many more doses are needed?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	0
2604	5932	5932	5932	"A question the study physician wrote on the data form from a previous visit:  ""28-year-old white female notes increased acne after starting Ortho Tri-Cyclen.  Is there a better choice?"""	Which oral contraceptive should be used for acne?	1
2605	66	66	66	This isn't a question but when I looked at her rash, I asked myself is it shingles or possibly staphylococcal impetigo?  It isn't worth the cost of a test to find out.	Is melatonin good for anything?  What is the dose?	0
2606	6959	6959	6959	"This lady had morbid obesity, had bariatric surgery, no nausea or vomiting, not on a diuretic and her potassium is 3.1.  ""Does bariatric surgery have anything to do with that?"""	What affect does bariatric surgery have on the serum potassium?	1
2607	8347	8347	8347	What is the workup of lower abdominal pain in a 20-year-old?	What is the workup of lower abdominal pain in a 20-year-old?	1
2608	5228	5228	5228	If a patient delivers past term with one pregnancy, is she more likely to deliver past term with subsequent pregnancies?	If a patient delivers past term, is she more likely to deliver past term with subsequent pregnancies?	1
2609	7206	7206	7206	Seventeen-year-old girl going to Haiti.  The question is whether she should get Hepatitis A immunoglobulin versus Hepatitis A vaccine.  How long is Hepatitis A good for?	Let's give these immunizations.  That's right isn't it?	0
2610	3739	3739	3739	If you see a breast cyst on mammography or breast ultrasound, do you always have to aspirate it or can you just assume it's benign?	Why is this otherwise healthy 28-year-old woman short of breath?	0
2611	7820	7820	7820	Is the blood in this patient's mouth coming from the stomach?	Why did she get Coccidiomycosis?	0
2612	6660	6660	6660	8-year-old boy with perianal fistula, not healing, suspect inflammatory bowel disease.  What is the incidence of inflammatory bowel disease in siblings?	What is the concordance rate for inflammatory bowel disease among siblings of affected patient?	1
2613	7898	7898	7898	What is the normal value of thyroid stimulating hormone?	What is the normal value of thyroid stimulating hormone?	1
2614	5198	5198	5198	What would cause diarrhea and fever in an adult?	What would cause diarrhea and fever in an adult?	1
2615	5181	5181	5181	Is multiple sclerosis hereditary?	Is multiple sclerosis hereditary?	1
2616	4079	4079	4079	Can alcoholic hepatitis cause a fever?	I wonder if this patient could have a rotator cuff thing?	0
2617	6627	6627	6627	"76-year-old woman with bladder cancer, last neoadjuvant chemotherapy was 6 weeks ago.  Came in with a generalized rash, one-half to one centimeter red lesions, not itching, not painful.  So the question is ""What is this rash?"""	What is this rash?	1
2618	3580	3580	3580	Is there any reason to use captopril as opposed to other angiotensin-converting enzyme inhibitors in diabetics with microalbuminuria?	Can testes not being in the scrotum come from just being tense?	0
2619	5926	5926	5926	"Two-year old girl with Kawasaki's diagnosed about 7 days into her illness.  There is a recommended aspirin blood level for kids with rheumatoid arthritis but not that I could find for Kawasaki's disease.  ""Is there any utility in shooting for that blood level in a patient with Kawasaki's disease or should you just go with the recommended dose?"""	In a patient with Kawasaki's disease, should you aim for a therapeutic serum aspirin level?	1
2620	1748	1748	1748	Is it better to use prescription or over-the-counter Antivert?  Patient has a ten dollar co-pay.	Is it better to use prescription or over-the-counter Antivert?  Patient has a $10 co-pay.	1
2621	3330	3330	3330	What were the circumstances of the recent deaths reported with sumatriptan (Imitrex)?	What were the circumstances of the recent deaths reported with sumatriptan (Imitrex)?	1
